Time	Temp_Diode	MKS1000	LowerEdge	Bandwidth	Center_Stimulus	QualityFactor	LowerEdge	Loss	Max_Freq
3793003366.339	9.541	1008.201	655669794.000	13049.000	655676318.468	50247.246	655682843.000	60.915	655676318.468
3793003380.680	9.471	1008.047	655669824.000	13199.000	655676423.467	49676.220	655683023.000	60.943	655676423.467
3793003392.901	9.397	1007.947	655669882.000	13097.000	655676430.467	50063.101	655682979.000	60.920	655676430.467
3793003406.140	9.311	1007.872	655669942.000	13192.000	655676537.967	49702.588	655683134.000	60.928	655676537.967
3793003420.104	9.252	1007.720	655670016.000	13160.000	655676595.967	49823.450	655683176.000	60.914	655676595.967
3793003432.427	9.187	1007.669	655670034.000	13162.000	655676614.967	49815.880	655683196.000	60.928	655676614.967
3793003446.639	9.099	1007.581	655670082.000	13128.000	655676645.967	49944.900	655683210.000	60.940	655676645.967
3793003460.220	9.011	1007.517	655670067.000	13263.000	655676698.466	49436.530	655683330.000	60.951	655676698.466
3793003472.570	8.955	1007.470	655669523.000	13581.000	655676313.465	48278.942	655683104.000	61.328	655676313.465
3793003485.113	8.890	1007.402	655673524.000	5945.000	655676496.493	110290.412	655679469.000	53.166	655676496.493
3793003503.769	8.809	1007.376	655679680.000	2432.000	655680895.999	269605.632	655682112.000	41.348	655680895.999
3793003517.227	8.720	1007.276	655680904.000	2395.000	655682101.499	273771.232	655683299.000	40.182	655682101.499
3793003530.551	8.641	1007.224	655681365.000	2395.000	655682562.499	273771.425	655683760.000	39.900	655682562.499
3793003543.253	8.579	1007.138	655681657.000	2394.000	655682853.999	273885.904	655684051.000	39.961	655682853.999
3793003552.752	8.520	1007.128	655681843.000	2397.000	655683041.499	273543.196	655684240.000	40.019	655683041.499
3793003569.485	8.448	1007.053	655681970.000	2419.000	655683179.499	271055.469	655684389.000	39.619	655683179.499
3793003585.969	8.371	1006.961	655682092.000	2410.000	655683296.999	272067.758	655684502.000	40.116	655683296.999
3793003609.108	8.242	1006.942	655683488.000	54.000	655683515.000	12142287.315	655683542.000	16.394	655683515.000
3793003622.030	8.175	1006.846	655683563.000	38.000	655683582.000	17254831.105	655683601.000	17.977	655683582.000
3793003635.458	8.129	1006.798	655683620.000	46.000	655683643.000	14253992.239	655683666.000	17.596	655683643.000
3793003648.216	8.053	1006.775	655683630.000	128.000	655683694.000	5122528.859	655683758.000	12.655	655683694.000
